,Name,Artist,Date,Genre,GrammyAward,Energy,Danceability,Tempo,Valence,Peak.position,Weeks.on.chart,Avg.rank
0,'TIL SUMMER COMES AROUND,KEITH URBAN,2010,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,24 FRAMES,JASON ISBELL,2015,AMERICAN ROOTS MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,24K MAGIC,BRUNO MARS,2017,GENERAL,1,0.803,0.818,106.97,0.632,4.0,41.0,21.4390243902439
3,500 MILES HIGH,CHICK COREA,2011,JAZZ,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,99 PROBLEMS,JAY Z,2004,RAP,1,0.887,0.494,89.554,0.548,30.0,12.0,61.583333333333336
5,ADORN,MIGUEL,2012,R&B,1,0.576,0.625,179.063,0.235,17.0,33.0,36.06060606060606
6,AGAIN,LENNY KRAVITZ,2000,ROCK,1,0.834,0.751,95.053,0.894,4.0,32.0,18.75
7,AIN'T NO OTHER MAN,CHRISTINA AGUILERA,2012,POP,1,0.898,0.681,127.966,0.626,6.0,20.0,19.555555555555557
8,AIN'T IT FUN,PARAMORE,2014,ROCK,1,0.815,0.534,103.911,0.67,10.0,24.0,29.958333333333332
9,ALRIGHT,KENDRICK LAMAR,2015,RAP,1,0.766,0.796,110.034,0.558,81.0,14.0,88.0
10,AMERICAN WOMAN,LENNY KRAVITZ,1999,ROCK,1,0.744,0.627,83.894,0.577,49.0,21.0,65.0
11,ANGEL,LALAH HATHAWAY,2016,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,ANGRY WORLD,NEIL YOUNG,2010,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,B.Y.O.B.,SYSTEM OF A DOWN,2005,ROCK,1,0.981,0.538,101.414,0.711,27.0,20.0,60.25
14,BAD ROMANCE,LADY GAGA,2010,POP,1,0.921,0.696,119.001,0.714,2.0,35.0,16.085714285714285
15,BANGARANG,SKRILLEX ,2012,DANCE/ELECTRONIC MUSIC,1,0.972,0.716,110.026,0.576,72.0,20.0,85.3
16,BARTON HOLLOW,THE CIVIL WARS,2011,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,BE OK,WILLI.AM,2008,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,BE WITHOUT YOU,MARY J BLIGE,2006,R&B,2,0.7,0.726,146.559,0.673,3.0,33.0,20.454545454545453
19,BEAUTIFUL,CHRISTINA AGUILERA,2003,POP,1,0.573,0.456,76.19,0.0992,2.0,27.0,17.962962962962962
20,BEAUTIFUL DAY,U2,2000,ROCK,1,0.926,0.539,136.279,0.454,21.0,25.0,40.64
21,BEFORE HE CHEATS,CARRIE UNDERWOOD,2007,COUNTRY,2,0.749,0.519,147.905,0.29,8.0,64.0,29.07936507936508
22,BEFORE I FORGET,SLIPKNOT,2005,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,BELIEVE,CHER,1999,POP,1,0.395,0.363,110.379,0.165,1.0,31.0,41.0
24,BEST PART,HE.R. ,2018,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,BETTER MAN,LITTLE BIG TOWN,2017,COUNTRY,1,0.114,0.288,132.121,0.0532,34.0,20.0,52.5
26,BITTERSWEET,FANTASIA,2010,R&B,1,0.872,0.443,142.045,0.211,74.0,12.0,86.91666666666667
27,BLACKSTAR,DAVID BOWIE,2016,ROCK,2,0.552,0.366,97.98,0.114,100.0,1.0,78.0
28,BLAME IT,CHRISETTE MICHELE,2009,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,BLESS THE BROKEN ROAD,RASCAL FLATTS,2005,COUNTRY,1,0.45,0.591,135.893,0.344,29.0,20.0,44.75
30,BLOWN AWAY,CARRIE UNDERWOOD,2012,COUNTRY,2,0.843,0.531,136.991,0.392,20.0,22.0,39.40909090909091
31,BODY AND SOUL,TONY BENNETT,2011,POP,1,0.249,0.342,94.746,0.203,100.0,1.0,87.0
32,BOO'D UP,ELLA MAI,2018,R&B,1,0.344,0.735,90.008,0.654,5.0,35.0,24.65714285714286
33,BOULEVARD OF BROKEN DREAMS,GREEN DAY,2005,GENERAL,1,0.827,0.29,167.086,0.45,2.0,36.0,21.235294117647058
34,BRAND NEW DAY,STING,1999,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,BREATHE,FAITH HILL,2000,COUNTRY,1,0.496,0.529,136.859,0.278,2.0,53.0,23.764705882352942
36,BRING ME TO LIFE,EVANESCENCE ,2003,ROCK,1,0.943,0.331,94.612,0.296,5.0,32.0,21.09375
37,BROKEN HALOS,CHRIS STAPLETON,2017,COUNTRY,1,0.564,0.613,78.388,0.538,45.0,20.0,73.25
38,BUBBLIN,ANDERSON PAAK,2018,RAP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,BUTTERFLIES,KACEY MUSGRAVES,2018,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
40,CALL MY NAME,PRINCE,2004,R&B,1,0.574,0.622,113.984,0.405,75.0,18.0,87.66666666666667
41,CAN'T STOP THE FEELING!,JAMMY JAMS,2016,COMPOSING/ARRANGING,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42,CHASING PAVEMENTS,ADELE,2008,POP,1,0.47,0.616,80.03,0.325,21.0,7.0,75.57142857142857
43,CHEROKEE,CHRISTIAN MCBRIDE,2015,JAZZ,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
44,CHOICES,GEORGE JONES,1999,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45,CIRICE,GHOST,2015,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
46,CITY OF BLINDING LIGHTS,U2,2004,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,CLARITY,ZEDD ,2013,DANCE/ELECTRONIC MUSIC,1,0.781,0.509,128.0,0.176,8.0,33.0,31.757575757575758
48,CLIMAX,USHER,2012,R&B,1,0.478,0.647,135.877,0.333,17.0,20.0,37.65
49,CLOCKS,COLDPLAY,2003,GENERAL,1,0.749,0.577,130.97,0.255,29.0,22.0,43.45454545454545
50,COME INTO MY WORLD,KYLIE MINOGUE,2003,DANCE/ELECTRONIC MUSIC,1,0.926,0.756,125.022,0.833,91.0,8.0,93.0
51,COME ON OVER,SHANIA TWAIN,1999,COUNTRY,1,0.915,0.829,118.903,0.779,58.0,10.0,64.6
52,COUSIN DUPREE,STEELY DAN,2000,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,CRACK A BOTTLE,EMINEM,2009,RAP,1,0.874,0.516,169.561,0.391,1.0,17.0,40.76470588235294
54,CRANES IN THE SKY,SOLANGE,2016,R&B,1,0.615,0.719,96.988,0.465,74.0,2.0,86.5
55,CRAWLING,LINKIN PARK,2001,ROCK,1,0.927,0.588,93.571,0.652,79.0,20.0,88.1
56,CRAZY,GNARLS BARKLEY,2006,R&B,1,0.741,0.835,111.963,0.612,2.0,29.0,19.75
57,CROSS MY MIND,JILL SCOTT,2004,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
58,CRY,FAITH HILL,2002,COUNTRY,1,0.654,0.624,73.898,0.564,33.0,26.0,52.08
59,CRY ME A RIVER,JUSTIN TIMBERLAKE,2003,POP,1,0.654,0.624,73.898,0.564,3.0,20.0,17.94736842105263
60,D.O.A. (DEATH OF AUTO-TUNE),JAY Z,2009,RAP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
61,DANCE WITH MY FATHER,LUTHER VANDROSS,2003,R&B,1,0.341,0.739,80.958,0.231,38.0,20.0,50.05
62,DANCIN' 4 CHICKEN,TERENCE BLANCHARD,2008,JAZZ,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
63,DANGEROUSLY IN LOVE 2,BEYONCÉ,2003,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
64,DANI CALIFORNIA,RED HOT CHILI PEPPERS,2006,ROCK,2,0.913,0.556,96.184,0.73,6.0,26.0,20.423076923076923
65,DAUGHTERS,JOHN MAYER,2004,POP,1,0.404,0.687,124.912,0.509,19.0,23.0,34.08695652173913
66,DAYDREAMIN',LUPE FIASCO ,2007,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
67,DAYS GO BY,DIRTY VEGAS,2002,DANCE/ELECTRONIC MUSIC,1,0.853,0.786,126.99,0.309,14.0,20.0,42.85
68,DIAMONDS FROM SIERRA LEONE,KANYE WEST,2005,RAP,1,0.814,0.672,97.043,0.379,43.0,19.0,71.26315789473684
69,DIG IN,LENNY KRAVITZ,2001,ROCK,1,0.921,0.671,118.424,0.825,31.0,20.0,52.75
70,DISORDER IN THE HOUSE,BRUCE SPRINGSTEEN,2003,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
71,DISRESPECTFUL,MARY J BLIGE,2007,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
72,DISSIDENT AGGRESSOR,JUDAS PRIEST,1977,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
73,DON'T FENCE ME IN,JOHN DAVERSA,2008,JAZZ,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
74,DON'T KNOW WHY,NORAH JONES,2017,POP,1,0.641,0.639,120.927,0.0725,30.0,31.0,53.54838709677419
75,DON'T LET ME DOWN,THE CHAINSMOKERS ,2016,DANCE/ELECTRONIC MUSIC,1,0.888,0.562,159.573,0.454,3.0,52.0,21.692307692307693
76,DON'T LET ME BE LONELY TONIGHT,JAMES TAYLOR,2009,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
77,DON'T PHUNK WITH MY HEART,THE BLACK EYED PEAS,2020,RAP,1,0.666,0.711,131.106,0.663,3.0,26.0,20.0
78,DON'T WANNA FIGHT,ALABAMA SHAKES,2015,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
79,DON'T WANNA FIGHT,JOHN HEINRICH,2015,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
80,DROPS OF JUPITER,TRAIN,2001,ROCK,1,0.638,0.481,79.064,0.497,5.0,53.0,26.81132075471698
81,DRUNK IN LOVE,BEYONCÉ,2014,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
82,DYSTOPIA,MEGADETH,2016,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
83,EARNED IT (FIFTY SHADES OF GREY),THE WEEKND,2015,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
84,EITHER WAY,CHRIS STAPLETON,2017,COUNTRY,1,0.0645,0.655,129.399,0.278,89.0,2.0,93.0
85,EL DORADO,IRON MAIDEN,2010,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
86,ELECTRIC MESSIAH,HIGH ON FIRE,2018,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
87,ELECTRICITY,SILK CITY,2018,DANCE/ELECTRONIC MUSIC,1,0.67,0.588,118.159,0.505,62.0,10.0,85.8
88,ELEVATION,U2,2001,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
89,ELITE,DEFTONES,2000,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
90,EMPIRE STATE OF MIND,JAY Z,2010,RAP,1,0.956,0.491,173.585,0.811,1.0,30.0,13.7
91,EYES OF THE INSANE,SLAYER,2006,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
92,FALLIN',ALICIA KEYS,2001,R&B,2,0.609,0.652,95.986,0.482,1.0,34.0,20.941176470588236
93,FAMILY AFFAIR,HANS ZIMMER,2006,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
94,FEEL GOOD INC.,GORILLAZ ,2005,POP,1,0.705,0.818,138.559,0.772,14.0,45.0,32.37777777777778
95,FEEL IT STILL,PORTUGAL THE MAN,2017,POP,1,0.795,0.801,79.028,0.754,4.0,45.0,28.704545454545453
96,FINAL SIX,SLAYER,2007,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
97,FINGERPRINTS,CHICK COREA,2014,JAZZ,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
98,FOOL FOR YOU,CEELO GREEN,2011,R&B,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99,FOR ONCE IN MY LIFE,TONY BENNETT,2006,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100,FORGOT ABOUT DRE,DR DRE ,1999,RAP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
101,FROM THE BOTTOM OF MY HEART,STEVIE WONDER,2005,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
102,FROM THIS VALLEY,THE CIVIL WARS,2013,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
103,FUCK YOU,CEE LO GREEN,2010,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
104,FUTURE BABY MAMA,PRINCE,2007,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
105,GALVANIZE,THE CHEMICAL BROTHERS ,2005,DANCE/ELECTRONIC MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
106,GENTLE ON MY MIND,JOHN MAILANDER,2014,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
107,GET LUCKY,DAFT PUNK ,2013,POP,1,0.811,0.794,116.047,0.862,2.0,29.0,13.379310344827585
108,GET RIGHT WITH GOD,LUCINDA WILLIAMS,2001,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
109,GET UR FREAK ON,"MISSY ""MISDEMEANOR"" ELLIOTT",2001,RAP,1,0.75,0.797,177.87,0.74,7.0,25.0,24.72
110,GIRL CRUSH,NEW POLITICS,2015,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
111,GIRL CRUSH,LITTLE BIG TOWN,2015,COUNTRY,1,0.225,0.5,173.788,0.355,18.0,24.0,43.583333333333336
112,GIRLS IN THEIR SUMMER CLOTHES,BRUCE SPRINGSTEEN,2008,ROCK,1,0.76,0.439,113.102,0.673,100.0,1.0,95.0
113,GIVE MY LOVE TO ROSE,JOHNNY CASH,2002,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
114,GLORY,LIL WAYNE,2015,COMPOSING/ARRANGING,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
115,GOD PROVIDES,TAMELA MANN,2016,GOSPEL/CONTEMPORARY CHRISTIAN MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
116,GOD IS DEAD?,BLACK SABBATH,2013,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
117,GOD'S PLAN,DRAKE,2018,RAP,1,0.449,0.754,77.169,0.357,1.0,36.0,10.25
118,GOLD DIGGER,KANYE WEST,2005,RAP,1,0.696,0.629,93.034,0.623,1.0,39.0,20.236842105263158
119,GONE GONE GONE (DONE MOVED ON),ALISON KRAUSS,2007,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
120,GOOD LIFE,KANYE WEST ,2007,RAP,1,0.808,0.439,82.962,0.487,7.0,21.0,15.666666666666666
121,GRAVEDIGGER,DAVE MATTHEWS,2003,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
122,GUERRILLA RADIO,RAGE AGAINST THE MACHINE,1999,ROCK,1,0.957,0.599,103.68,0.489,69.0,20.0,87.35
123,HALO,BEYONCÉ,2009,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
124,HAPPY (LIVE),PHARRELL WILLIAMS,2014,POP,1,0.723,0.778,129.989,0.966,1.0,47.0,18.06382978723404
125,HARDER BETTER FASTER STRONGER,DAFT PUNK,2001,DANCE/ELECTRONIC MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
126,HE THINK I DON'T KNOW,MARY J BLIGE,2002,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
127,HE WASN'T MAN ENOUGH,TONI BRAXTON,2000,R&B,1,0.947,0.739,88.009,0.766,2.0,37.0,21.0
128,HEAVEN,JOHN LEGEND,2006,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
129,HEAVEN,LOS LONELY BOYS,2004,POP,1,0.816,0.653,91.894,0.802,16.0,30.0,28.93103448275862
130,HELLO,ADELE,2016,POP,1,0.43,0.578,78.991,0.288,1.0,26.0,8.153846153846153
131,HERE WE GO AGAIN,NORAH JONES,2004,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
132,HERE TO STAY,KORN,2002,ROCK,1,0.947,0.564,100.002,0.351,72.0,12.0,83.83333333333333
133,HEY BABY,NO DOUBT,2002,POP,1,0.872,0.705,93.628,0.75,5.0,20.0,22.6
134,HEY YA!,OUTKAST,2003,R&B,1,0.974,0.727,79.526,0.965,1.0,32.0,15.64516129032258
135,"HEY, SOUL SISTER (LIVE)",TRAIN,2011,POP,1,0.876,0.628,96.994,0.826,3.0,54.0,24.814814814814813
136,HOLY SPIRIT,RYAN ELLIS,2015,GOSPEL/CONTEMPORARY CHRISTIAN MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
137,HOT HOUSE,CHICK COREA,2012,JAZZ,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
138,HOT IN HERRE,NELLY,2002,RAP,1,0.745,0.956,107.075,0.912,1.0,26.0,10.461538461538462
139,HOTLINE BLING,DRAKE,2016,RAP,2,0.375,0.719,116.657,0.149,2.0,36.0,16.25
140,HOUSE OF MERCY,SARAH JAROSZ,2016,AMERICAN ROOTS MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
141,HOW DEEP IS YOUR LOVE,PJ MORTON ,2018,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
142,HOW FAR I'LL GO,AULI'I CRAVALHO,2017,COMPOSING/ARRANGING,1,0.307,0.571,83.72,0.108,41.0,20.0,62.85
143,HUMBLE AND KIND,TIM MCGRAW,2016,COUNTRY,1,0.48,0.355,100.956,0.137,30.0,20.0,52.9
144,HUMBLE.,KENDRICK LAMAR,2017,RAP,2,0.621,0.908,150.011,0.421,1.0,37.0,19.486486486486488
145,I'M LIKE A BIRD,NELLY FURTADO,2012,POP,1,0.865,0.545,89.588,0.56,9.0,24.0,31.625
146,I'M NOT GONNA MISS YOU,GLEN CAMPBELL,2020,COUNTRY,1,0.455,0.445,109.885,0.151,100.0,1.0,90.0
147,IF WE WERE VAMPIRES,JASON ISBELL AND THE 400 UNIT,2017,AMERICAN ROOTS MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148,IF I AIN'T GOT YOU,ALICIA KEYS,2004,R&B,1,0.274,0.535,118.363,0.464,4.0,40.0,15.4
149,IMAGINE,MARCOS YAROIDE,2010,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
150,IN MY PLACE,COLDPLAY,2002,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
151,IRON MAN,BLACK SABBATH,1999,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152,IS THIS LOVE,CORINNE BAILEY RAE,2011,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
153,"IS YOU IS, OR IS YOU AIN'T (MY BABY)",STEVE LALLIER'S TUXEDO JUNCTION,2000,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
154,IT'S FIVE O'CLOCK SOMEWHERE,ALAN JACKSON,2003,COUNTRY,1,0.773,0.713,125.194,0.888,17.0,20.0,33.5
155,IT'S NOT RIGHT BUT IT'S OKAY,WHITNEY HOUSTON,2021,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
156,I’M SO LONESOME I COULD CRY,JOHN SCOFIELD,2016,JAZZ,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
157,JESUS CHILDREN,TIMMY SINGERS,2014,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
158,JESUS WALKS,KANYE WEST,2004,RAP,1,0.834,0.637,87.312,0.715,11.0,25.0,28.333333333333332
159,"JESUS, TAKE THE WHEEL",CARRIE UNDERWOOD,2006,COUNTRY,2,0.518,0.359,76.572,0.135,20.0,24.0,33.833333333333336
160,JOANNE (WHERE DO YOU THINK YOU'RE GOIN'?),LADY GAGA,2018,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
161,JOLENE,PENTATONIX ,2016,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
162,JUST THE WAY YOU ARE,BRUNO MARS,2010,POP,1,0.841,0.635,109.021,0.424,1.0,48.0,18.708333333333332
163,KEEP ON THE SUNNY SIDE,JUNE CARTER CASH,2003,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
164,KID SISTER,THE TIME JUMPERS,2016,AMERICAN ROOTS MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
165,KILLER DILLER BLUES,ALABAMA SHAKES,2017,AMERICAN ROOTS MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
166,LADY MARMALADE,CHRISTINA AGUILERA,2001,POP,1,0.808,0.756,109.902,0.638,1.0,20.0,18.38888888888889
167,LAKE BY THE OCEAN,MAXWELL,2016,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
168,LAST NAME,CARRIE UNDERWOOD,2008,COUNTRY,1,0.869,0.395,159.833,0.688,19.0,20.0,53.55
169,LAZARETTO,JACK WHITE,2014,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
170,LET IT GO,IDINA MENZEL,2014,COMPOSING/ARRANGING,1,0.485,0.543,136.961,0.371,5.0,33.0,23.96969696969697
171,LET'S GET IT STARTED,THE BLACK EYED PEAS,2004,RAP,1,0.547,0.803,137.93,0.802,21.0,20.0,38.1
172,LETTER TO ME,BRAD PAISLEY,2008,COUNTRY,1,0.492,0.532,79.242,0.366,40.0,20.0,60.3
173,LITTLE GHETTO BOY,LALAH HATHAWAY,2015,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
174,LITTLE THINGS,INDIAARIE,2002,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
175,LIVE LIKE YOU WERE DYING,TIM MCGRAW,2004,COUNTRY,2,0.546,0.416,159.929,0.418,29.0,23.0,38.91304347826087
176,LOLLIPOP,LIL WAYNE ,2008,RAP,1,0.428,0.829,148.075,0.45,1.0,28.0,14.321428571428571
177,LONELY BOY,THE BLACK KEYS,2012,ROCK,2,0.872,0.356,166.3,0.607,64.0,20.0,80.75
178,LOSE YOURSELF,EMINEM,2003,RAP,2,0.735,0.684,171.383,0.06,1.0,23.0,10.565217391304348
179,LOVE OF MY LIFE (AN ODE TO HIP HOP),ERYKAH BADU ,2002,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
180,LOVE ON TOP,BEYONCÉ,2012,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
